Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Private,Verified,Business,#Posts,#Followers,#Following,Fake
1,0.067,0,0,0,0,0,0,3,67,4118,1
1,0.125,2,63,0,1,0,0,1,5,29,1
1,0,0,0,0,1,0,0,5,27,5415,1
1,0.4,1,0,0,0,0,0,0,124,277,1
1,0,4,36,0,0,0,0,2,4,124,1
1,0,1,0,0,0,0,0,3,97,6214,1
1,0,0,0,0,1,0,0,1,72,4832,1
1,0.5,1,0,0,0,0,0,1,30,2092,1
1,0.25,2,0,0,1,0,0,0,65,304,1
1,0,1,0,0,0,0,0,2,78,6210,1
1,0,3,7,0,0,0,1,135,1093,212,1
1,0,0,2,0,0,0,0,0,0,8,1
1,0,2,7,0,1,0,0,204,623,1776,1
1,0.091,1,0,0,0,0,0,7,215,6683,1
1,0,0,0,0,0,0,0,4,38,5412,1
1,0.182,1,0,0,0,0,0,7,60,203,1
1,0,1,0,0,0,0,0,2,73,5234,1
1,0,2,0,0,0,0,0,0,66,433,1
1,0,2,57,0,0,0,0,0,54,187,1
1,0.333,2,5,0,1,0,0,947,265,1077,1
1,0,0,0,0,1,0,0,3,27,6124,1
1,0.25,1,0,0,0,0,0,0,48,180,1
0,0.143,2,122,0,0,0,0,0,97,461,1
0,0.5,2,0,0,0,0,0,0,16,101,1
1,0,2,0,0,0,0,1,110,833,3268,1
1,0,0,0,0,0,0,0,2,53,2021,1
0,0.333,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,0,0,3,22,3951,1
1,0,1,0,0,0,0,0,2,50,2196,1
1,0.333,0,0,0,0,0,0,0,31,3,1
1,0,1,0,0,0,0,0,4,73,4636,1
1,0,0,134,1,0,0,0,38,381,920,1
1,0,1,0,0,0,0,0,2,64,4422,1
1,0,1,0,0,0,0,0,2,71,3390,1
1,0.278,2,85,1,0,0,0,620,373,621,1
1,0,0,0,0,0,0,0,3,73,6056,1
1,0,0,0,0,0,0,0,2,69,5355,1
1,0.235,1,0,0,0,0,0,14,160,635,1
0,0.7,0,41,0,0,0,0,4,130,115,1
1,0,0,3,0,1,0,0,0,202,761,1
1,0,1,0,0,0,0,0,2,50,2480,1
1,0,0,0,0,0,0,0,5,43,6194,1
0,0,0,0,0,0,0,0,0,147,843,1
0,0,0,0,0,0,0,0,0,69,6129,1
1,0,3,60,0,1,0,0,637,1550,3563,1
1,0,0,0,0,0,0,0,5,54,3151,1
1,0,1,0,0,0,0,0,6,66,2756,1
1,0.4,2,6,0,1,0,0,149,53,1108,1
1,0.125,2,0,0,0,0,0,1,426,4868,1
1,0,2,28,1,1,0,0,36,339,709,1
1,0,0,0,0,0,0,0,4,87,5974,1
1,0.5,0,38,0,1,0,0,0,402,2265,1
0,0.429,1,0,0,0,0,0,0,26,2716,1
