Profile Pic,Nums/Length Username,Full Name Words,Bio Length,External Url,Verified,Business,#Posts,#Followers,#Following,Last Post Recent,%Post Single Day,Index of Activity,Average of Likes,Fake
1,0,4,134,1,0,1,1621,60849,69,1,3,20,766.99,0
1,0,2,68,1,0,1,124,17108,2750,1,2,7,464.99,0
1,0,2,44,0,0,1,251,9596,727,1,2,1.545,1253.55,0
1,0,1,24,1,0,1,120,3358,1013,1,3,6.417,410.97,0
1,0,2,129,1,0,1,84,2435,1445,1,4.762,2.833,76.714,0
1,0,2,113,1,0,1,158,12494,976,1,1,6.25,246.17,0
1,0,3,67,0,0,1,1240,3548,893,1,1,6.917,297.03,0
1,0,3,74,0,0,1,96,3479,619,1,6.25,7.833,49.479,0
1,0,1,89,1,0,0,1770,90388,1394,1,4,50,2930.99,0
1,0,1,0,0,0,0,1694,6020,1453,1,2,2.917,113.14,0
1,0,2,49,1,0,1,9,1720,882,1,11.111,0.667,149.444,0
1,0,1,94,0,1,0,361,613189,883,1,1,10,78502.16,0
1,0,3,112,1,0,0,359,12832,489,1,2,12.5,413.04,0
1,0,3,96,1,0,0,443,130546,271,1,2,16.667,15275.52,0
1,0,2,34,1,0,0,219,1026,844,0,4,0,48.5,0
1,0,4,90,1,0,1,188,90379,586,1,2,10,12943.4,0
1,0,2,76,1,0,0,1070,682869,138,1,1,9.091,25315.16,0
1,0.429,3,21,1,0,1,198,21688,496,1,3,4.167,449.46,0
1,0,3,78,1,0,0,2045,19855,2332,1,2,12.5,944.67,0
1,0,2,118,1,1,0,1050,3375676,256,1,2,20,189525.1,0
1,0,2,133,1,1,0,2352,3971285,203,1,3,11.111,148578.39,0
1,0,2,36,1,1,1,403,17154271,405,1,4,14.286,1445273.77,0
1,0.1,2,147,1,0,0,2430,29481,1534,1,6,4.25,466.58,0
1,0,2,0,0,0,0,18,678,296,1,5.556,1.417,131.111,0
1,0,4,111,1,1,0,611,964653,2298,1,1,0.364,41592.68,0
1,0,2,131,1,0,0,327,177363,290,1,2,25,20247.64,0
1,0,3,71,1,0,1,112,21880,80,1,3,8.333,4548.32,0
1,0,2,68,1,0,0,42,735849,553,1,2.381,3.091,109568.952,0
1,0,2,123,1,1,0,2579,1761790,267,1,2,8.333,51772.96,0
